"rtype";"name";"descr"
"1";"Оценка в целом";
"2";"Компетентность и знание материала";"1 - Видит материал в первый раз. 5 - Мастер своего дела!"
"3";"Выполнение обещаний";"1 - Пустослов. 5 - Сказал - сделал"
"4";"Степень занудства";"1 - Невероятный зануда. 5 - Интересней пары я не видел!"
"5";"Жажда к выносам";"1 - Очень даже часто выносит. 5 - Надо постараться, чтоб вынес."
"6";"Мера требовательности";"1 - Полное безразличие. 3 - Требователен в меру. 5 - Крайне требователен."
"7";"Последовательность, логичность, понятность";"1 - Это не про него (нее). 5 - Только так!"
"8";"Понимающий, как человек";"1 - Вообще не понимает. 5 - Очень понимающий."
"9";"Возможность списать";"1 - Вообще никак. 2 - Если повезет. 3 - Придется постараться. 4 - По настроению. 5 - Сам разрешает."
"10";"Степень адекватности";"1 - Полный неадекват. 5 - Супер адекват."
"11";"Требование к посещаемости";"1 - Крайне требователен. 5 - Ему без разницы."
"12";"Интересность пар";"1 - Пустота. 5 - Очень интересно и занимательно."
"13";"Степень сложности сдачи экзамена (зачета)";"1 - Самый ад. 5 - Халява."
